station_j,station_k,state_class,dist_exact,n_class_days_exact,n_used_exact,n_cells_exact,phi_bar_exact,dist_binned,n_class_days_binned,n_used_binned,n_cells_binned,phi_bar_binned
BARCELOS,LORCA,dry-dry,733.4979004425483,610,41,3,-0.12183049041434704,733.4979004425483,610,610,16,0.040517348441698305
BARCELOS,LORCA,dry-wet,733.4979004425483,689,42,3,-0.14483064250396688,733.4979004425483,689,558,16,-0.010473111158651932
BARCELOS,LORCA,wet-wet,733.4979004425483,78,23,1,-0.057735026918962574,733.4979004425483,78,64,4,-0.10099254076128177
BARCELOS,MONTSERRAT,dry-dry,869.679214214432,662,108,7,0.18026746568638358,869.679214214432,662,624,13,0.1263970131972111
BARCELOS,MONTSERRAT,dry-wet,869.679214214432,526,65,5,-0.16252700929990907,869.679214214432,526,484,19,-0.16495728662560244
BARCELOS,MONTSERRAT,wet-wet,869.679214214432,161,62,3,0.07091768871372382,869.679214214432,161,141,7,0.017523921931525355
BARCELOS,OURENSE,dry-dry,108.51603210141234,414,261,10,0.38820180985477254,108.51603210141234,414,383,7,0.3854262657035114
BARCELOS,OURENSE,dry-wet,108.51603210141234,299,161,6,-0.3448558733425826,108.51603210141234,299,269,10,-0.32168863525391894
BARCELOS,OURENSE,wet-wet,108.51603210141234,388,215,7,0.2950376218160386,108.51603210141234,388,335,8,0.29410846102316385
BARCELOS,OVIEDO,dry-dry,303.03775372150017,548,228,10,0.27259855107089165,303.03775372150017,548,532,14,0.272091104722608
BARCELOS,OVIEDO,dry-wet,303.03775372150017,442,171,10,-0.3134268933401278,303.03775372150017,442,407,18,-0.2944851585778065
BARCELOS,OVIEDO,wet-wet,303.03775372150017,380,211,10,0.13162353301823132,303.03775372150017,380,348,11,0.1370882374013494
BARCELOS,PAMPLONA,dry-dry,592.6994498625564,407,126,6,0.2600623033446036,592.6994498625564,407,385,14,0.3300758881476215
BARCELOS,PAMPLONA,dry-wet,592.6994498625564,289,88,7,-0.4471158061589635,592.6994498625564,289,230,14,-0.2822235273361988
BARCELOS,PAMPLONA,wet-wet,592.6994498625564,301,119,5,0.13229616766384664,592.6994498625564,301,292,11,0.26247889394065343
BARCELOS,PONFERRADA,dry-dry,202.54991121436774,477,231,9,0.3043299264054853,202.54991121436774,477,432,8,0.3651195732475538
BARCELOS,PONFERRADA,dry-wet,202.54991121436774,267,123,6,-0.34958126811161316,202.54991121436774,267,231,11,-0.3908019956148844
BARCELOS,PONFERRADA,wet-wet,202.54991121436774,325,158,6,0.26667583723003635,202.54991121436774,325,306,10,0.2638403218734679
BARCELOS,PORTO,dry-dry,33.53848022189384,795,463,11,0.24863041532290484,33.53848022189384,795,775,9,0.23552564874979812
BARCELOS,PORTO,dry-wet,33.53848022189384,460,297,9,-0.16675492431476865,33.53848022189384,460,406,9,-0.1794064976839764
BARCELOS,PORTO,wet-wet,33.53848022189384,597,337,7,0.22286171354229728,33.53848022189384,597,443,6,0.2182569066721348
BARCELOS,SORIA,dry-dry,510.47595095847004,394,141,6,0.2543258353468884,510.47595095847004,394,341,9,0.37702015028402003
BARCELOS,SORIA,dry-wet,510.47595095847004,272,104,8,-0.45623485819687065,510.47595095847004,272,197,10,-0.40928761594182306
BARCELOS,SORIA,wet-wet,510.47595095847004,293,154,7,0.2479267426914899,510.47595095847004,293,260,9,0.26239727964165455
BARCELOS,TARIFA,dry-dry,666.8113288261869,525,84,4,-0.020683935784202717,666.8113288261869,525,525,16,0.1534710032978438
BARCELOS,TARIFA,dry-wet,666.8113288261869,464,93,7,-0.2503297258621271,666.8113288261869,464,419,21,-0.17453766448924926
BARCELOS,TARIFA,wet-wet,666.8113288261869,234,81,5,0.23000526906617022,666.8113288261869,234,211,11,0.18020432796781485
BARCELOS,TORREVIEJA,dry-dry,782.6215615097669,861,96,7,0.11674166587374456,782.6215615097669,861,861,16,0.07254598770432036
BARCELOS,TORREVIEJA,dry-wet,782.6215615097669,834,122,9,-0.05800227646976076,782.6215615097669,834,778,19,-0.024205702651294916
BARCELOS,TORREVIEJA,wet-wet,782.6215615097669,93,53,3,0.02323816939787101,782.6215615097669,93,80,4,-0.1362207633184722
BARCELOS,VALENCIA,dry-dry,733.7072218600883,433,52,4,0.19266322368059802,733.7072218600883,433,433,16,0.05662642980586301
BARCELOS,VALENCIA,dry-wet,733.7072218600883,529,40,3,-0.06187245326600556,733.7072218600883,529,451,20,-0.029411417554605312
BARCELOS,VALENCIA,wet-wet,733.7072218600883,116,37,2,-0.13309225577064343,733.7072218600883,116,87,5,-0.005831186799554733
BARCELOS,VANDELLOS,dry-dry,795.6777500992627,571,61,4,0.05273947038992141,795.6777500992627,571,533,13,0.07788979597598722
BARCELOS,VANDELLOS,dry-wet,795.6777500992627,491,47,4,0.05370171752200789,795.6777500992627,491,384,16,-0.10796293552897922
BARCELOS,VANDELLOS,wet-wet,795.6777500992627,116,39,2,0.3859642887874685,795.6777500992627,116,93,5,0.23210153204595513
BARCELOS,VIMIANZO,dry-dry,173.4419829726839,578,238,11,0.12833396638447628,173.4419829726839,578,507,11,0.1293241622623351
BARCELOS,VIMIANZO,dry-wet,173.4419829726839,482,228,12,-0.20231356427452743,173.4419829726839,482,408,16,-0.2459504483816248
BARCELOS,VIMIANZO,wet-wet,173.4419829726839,608,295,10,0.08703969126691212,173.4419829726839,608,585,12,0.15554675021845094
BARCELOS,ZAMORA,dry-dry,240.12680160839145,532,191,9,0.3605930829079225,240.12680160839145,532,513,10,0.32670659624303694
BARCELOS,ZAMORA,dry-wet,240.12680160839145,360,151,8,-0.25569011833832916,240.12680160839145,360,322,14,-0.24676458705059878
BARCELOS,ZAMORA,wet-wet,240.12680160839145,267,146,6,0.10501289449951313,240.12680160839145,267,215,7,0.1676535886908305
BEJA,BRAGANCA,dry-dry,430.8607385181245,1415,621,22,0.47276268306303854,430.8607385181245,1415,1415,16,0.4475367295724122
BEJA,BRAGANCA,dry-wet,430.8607385181245,524,263,15,-0.42634470691203125,430.8607385181245,524,492,19,-0.42070619669612314
BEJA,BRAGANCA,wet-wet,430.8607385181245,557,386,11,0.3842463279985928,430.8607385181245,557,536,11,0.3849540377461929
BEJA,CADIZ,dry-dry,221.52310477604246,1092,636,18,0.6245346885516055,221.52310477604246,1092,1043,11,0.6174156683848084
BEJA,CADIZ,dry-wet,221.52310477604246,280,135,7,-0.5673661310616939,221.52310477604246,280,221,10,-0.5374029356467354
BEJA,CADIZ,wet-wet,221.52310477604246,435,336,11,0.5517384226564227,221.52310477604246,435,426,9,0.5258182171978741
BEJA,CAMPDEVANOL,dry-dry,971.5264098324253,1012,210,9,0.2062025471681277,971.5264098324253,1012,991,15,0.09763133128324901
BEJA,CAMPDEVANOL,dry-wet,971.5264098324253,508,220,10,-0.11364928034836459,971.5264098324253,508,469,17,-0.07599681081882968
BEJA,CAMPDEVANOL,wet-wet,971.5264098324253,185,97,4,0.15136319935685633,971.5264098324253,185,166,7,0.2248661774842212
BEJA,CUENCA,dry-dry,544.681595978789,1242,650,23,0.4377112040789854,544.681595978789,1242,1222,15,0.413746640626634
BEJA,CUENCA,dry-wet,544.681595978789,438,251,13,-0.42425721916228554,544.681595978789,438,381,14,-0.37985051848690654
BEJA,CUENCA,wet-wet,544.681595978789,433,311,9,0.40645002245450257,544.681595978789,433,399,8,0.37995815589293724
BEJA,DAROCA,dry-dry,651.0787517022701,950,317,13,0.2556471511437335,651.0787517022701,950,925,15,0.25306137443204924
BEJA,DAROCA,dry-wet,651.0787517022701,429,212,10,-0.1692526810648592,651.0787517022701,429,391,15,-0.16355731814632096
BEJA,DAROCA,wet-wet,651.0787517022701,210,139,4,0.15744930920486758,651.0787517022701,210,197,6,0.11401841469850688
BEJA,EXTREMO,dry-dry,440.49324693578575,749,189,10,0.238314967977424,440.49324693578575,749,737,15,0.19346959934501082
BEJA,EXTREMO,dry-wet,440.49324693578575,595,217,13,-0.19378298369074354,440.49324693578575,595,555,21,-0.2131164985504119
BEJA,EXTREMO,wet-wet,440.49324693578575,374,172,8,-0.027171734971950426,440.49324693578575,374,337,10,0.0667489161192308
BEJA,GETAFE,dry-dry,437.6679412323377,1055,494,16,0.504772873541131,437.6679412323377,1055,1038,14,0.5035996190113999
BEJA,GETAFE,dry-wet,437.6679412323377,303,131,7,-0.3296272519503644,437.6679412323377,303,247,11,-0.4347532180122148
BEJA,GETAFE,wet-wet,437.6679412323377,353,252,7,0.5026908162357099,437.6679412323377,353,329,7,0.49485992272818613
BEJA,LORCA,dry-dry,544.1541780990365,1212,202,11,0.14508972271143386,544.1541780990365,1212,1200,15,0.0938885605539984
BEJA,LORCA,dry-wet,544.1541780990365,590,213,13,-0.14147024110216036,544.1541780990365,590,545,18,-0.11505780041904408
BEJA,LORCA,wet-wet,544.1541780990365,128,68,3,-0.2681498727872456,544.1541780990365,128,120,6,-0.129118431075128
BEJA,MONTSERRAT,dry-dry,918.3970126546851,1127,297,14,0.11173050799376777,918.3970126546851,1127,1127,16,0.14544707309109117
BEJA,MONTSERRAT,dry-wet,918.3970126546851,501,216,12,-0.1359653179945903,918.3970126546851,501,473,18,-0.14476914158898377
BEJA,MONTSERRAT,wet-wet,918.3970126546851,205,144,6,0.3377118000677084,918.3970126546851,205,186,6,0.3064951829454421
BEJA,OURENSE,dry-dry,478.10838148272,753,230,9,0.4796966377825599,478.10838148272,753,709,13,0.386871421411535
BEJA,OURENSE,dry-wet,478.10838148272,423,210,12,-0.36798023126723617,478.10838148272,423,380,16,-0.3501147514828106
BEJA,OURENSE,wet-wet,478.10838148272,401,265,9,0.2995024833933067,478.10838148272,401,370,9,0.26066841950661546
BEJA,OVIEDO,dry-dry,615.7044529368845,801,279,13,0.27572195284640594,615.7044529368845,801,801,16,0.206401486348836
BEJA,OVIEDO,dry-wet,615.7044529368845,745,372,20,-0.0825359258293238,615.7044529368845,745,726,22,-0.07980654711888507
BEJA,OVIEDO,wet-wet,615.7044529368845,328,232,10,0.025454071175731764,615.7044529368845,328,314,9,0.011702978658528535
BEJA,PAMPLONA,dry-dry,749.236086638974,739,201,10,0.23196501219866442,749.236086638974,739,739,16,0.16717571422451993
BEJA,PAMPLONA,dry-wet,749.236086638974,571,238,12,-0.19391659966545696,749.236086638974,571,530,19,-0.19133062871012557
BEJA,PAMPLONA,wet-wet,749.236086638974,282,178,8,0.014608160284266748,749.236086638974,282,272,9,0.013257828671693284
BEJA,PONFERRADA,dry-dry,515.9345422390563,816,251,11,0.5081983790175436,515.9345422390563,816,790,15,0.39820834431364266
