station_j,station_k,dist,n_days,agree,agree_indep
PORTO,TARIFA,638.7996392399266,10386,0.7203928365106874,0.6473680309069765
PORTO,TORREVIEJA,772.2164504147961,11258,0.6553561911529578,0.6621735340516789
PORTO,VALENCIA,730.4403037146251,10679,0.6444423635171832,0.6422736921742555
PORTO,VANDELLOS,800.4796892617657,9271,0.6730665516125552,0.6419310581514432
PORTO,VIMIANZO,205.27483647472724,10868,0.7674825174825175,0.5305706588523201
PORTO,ZAMORA,247.6299619146027,10884,0.7969496508636531,0.6272315028971446
SORIA,TARIFA,694.9126272193365,12615,0.7816884661117717,0.665469424658369
SORIA,TORREVIEJA,448.56461736700817,10457,0.726690255331357,0.6951811020325677
SORIA,VALENCIA,311.4245680650915,13159,0.7511209058439091,0.6744273680023664
SORIA,VANDELLOS,294.2799122527215,10781,0.7679250533345701,0.6668946248384184
SORIA,VIMIANZO,557.200305739203,13232,0.661577992744861,0.5323316660478812
SORIA,ZAMORA,271.7560381571126,13362,0.8316120341266278,0.6455405364409825
TARIFA,TORREVIEJA,485.82495470794737,10351,0.8296782919524683,0.771886203544589
TARIFA,VALENCIA,600.0115551800452,13000,0.8177692307692308,0.7435015307091635
TARIFA,VANDELLOS,786.5750226201751,10789,0.806006117341737,0.7406305799013544
TARIFA,VIMIANZO,836.9590183426419,13091,0.6019402643037202,0.546595482231428
TARIFA,ZAMORA,611.8722859515716,13208,0.8106450635978195,0.70835427905532
TORREVIEJA,VALENCIA,169.8382864010786,10615,0.879510127178521,0.783322274484616
TORREVIEJA,VANDELLOS,358.203279690541,9218,0.8494250379691907,0.7937847654176622
TORREVIEJA,VIMIANZO,902.3822987500527,10817,0.5188129795691966,0.534130178782095
TORREVIEJA,ZAMORA,582.362225280907,10820,0.7596118299445471,0.7416221996828865
VALENCIA,VANDELLOS,195.02382803981865,11105,0.8689779378658262,0.7606213913185116
VALENCIA,VIMIANZO,826.7374398316697,13649,0.5285368891493882,0.5355233037338161
VALENCIA,ZAMORA,507.1099386270944,13767,0.7632744969855452,0.716503544669397
