data_source,f_1,kappa,sigma,xi
CANAKKALE winter,0.24836601307189543,0.9423464524916082,5.004191963533116,0.08185989376058257
CAP CEPET all,0.16968325791855204,0.9145219958484458,8.746061288523894,0.17231881704188928
CAP CEPET spring,0.1504950495049505,1.0323149367482483,7.235410455419523,0.2520345995598686
CAP CEPET summer,0.08597285067873303,0.8290580315796783,23.917777304188856,-0.10970467067601809
CAP CEPET autumn,0.18962075848303392,0.9430234790084729,7.692398378187992,0.01612475047723839
CAP CEPET winter,0.2033271719038817,0.8065341065815772,8.7476600908236,-0.013122370315824045
CASTELLO - ALMASSORA all,0.15950920245398773,0.930549547038097,11.102044282894656,0.09985702445544672
CASTELLO - ALMASSORA spring,0.16587677725118483,0.9260678238340434,9.529970764495719,0.07619631227652467
CASTELLO - ALMASSORA summer,0.12337662337662338,0.8779986683505642,15.202556711897268,-0.024117709204018716
CASTELLO - ALMASSORA autumn,0.16548463356973994,0.9491852903623448,8.929373114497842,0.1764123135595542
CASTELLO - ALMASSORA winter,0.17834394904458598,1.0451366911019766,11.59340781388766,0.14241660105403028
CATANIA/SIGONELLA all,0.2073342736248237,0.8640797998270424,7.011187569149926,0.31537632820507155
CATANIA/SIGONELLA spring,0.2099056603773585,0.874023223316033,7.47880143761766,0.3365064080469686
CATANIA/SIGONELLA summer,0.11029411764705882,0.6990695900577102,25.386029321203054,0.03364486551714145
CATANIA/SIGONELLA autumn,0.16806722689075632,0.7906452785665842,7.663510628897317,0.11802011720191725
CATANIA/SIGONELLA winter,0.25948103792415167,0.8586529764356556,5.807921588926659,0.019771651151949586
