,souid,city,country,lat,lon,city_key,years_mode,years_with_data,nan_fraction,total_rows_post_threshold
2163,147711,CONSTANTINE,DZ,36.36972222222222,6.62,,distinct_years,80,0.0,29098
2173,100960,AMARANTE,PT,41.27,-8.07,,distinct_years,65,0.0,23619
2201,112257,SEBHA,LY,27.02,14.45,,distinct_years,65,0.0,23285
2220,100963,ALMEIDINHA,PT,40.6,-7.13,,distinct_years,67,0.0,24077
2224,257251,MOURGASH,BG,42.83277777777778,23.666666666666668,,distinct_years,53,0.0,19177
2231,118445,SIDI SLIMANE,MA,34.23305555555556,-6.066666666666666,,distinct_years,75,0.0,27029
2233,268002,FISTERRA,ES,42.92444444444444,-9.29138888888889,,distinct_years,75,0.0,27272
2234,112552,JENDOUBA,TN,36.48,8.8,,distinct_years,80,0.0,29098
2246,147746,SIRTE,LY,31.2,16.579722222222223,,distinct_years,80,0.0,29098
2248,257342,SANDANSKI,BG,41.52,23.27,,distinct_years,73,0.0,26541
2267,147752,TANGIER CITY,MA,35.78,-5.819999999999999,,distinct_years,80,0.0,29098
2283,257377,ACHTOPOL,BG,42.1,27.85,,distinct_years,53,0.0,19177
2308,257258,KUSTENDIL,BG,42.266666666666666,22.766666666666666,,distinct_years,60,0.0,21673
2327,100814,NIS,RS,43.33305555555556,21.9,,distinct_years,80,0.0,29098
2335,100962,AGUIAR DA BEIRA,PT,40.81,-7.54,,distinct_years,80,0.0,29098
2360,147749,AGEDABIA,LY,30.72,20.17,,distinct_years,80,0.0,29098
2370,256264,BANDIRMA,TR,40.32,27.97,,distinct_years,76,0.0,27637
2374,105182,GOSPIC,HR,44.55,15.366666666666667,,distinct_years,80,0.0,29098
2377,112212,VIGNA DI VALLE,IT,42.08277777777778,12.216666666666669,,distinct_years,72,0.0,25903
2389,257307,CHIRPAN,BG,42.2,25.33305555555556,,distinct_years,73,0.0,26421
2396,257300,IVAILO,BG,42.21666666666667,24.33277777777778,,distinct_years,53,0.0,19177
2404,257048,SITIA,GR,35.2,26.1,,distinct_years,62,0.0,22524
2411,106200,MILLAU,FR,44.11833333333333,3.018333333333333,,distinct_years,62,0.0,22433
2416,256964,ELEFSIS,GR,38.06388888888888,23.55555555555556,,distinct_years,61,0.0,21824
2449,147705,ALGIERS-VILLE/UNIVERSITE,DZ,36.78,3.0700000000000003,,distinct_years,80,0.0,29098
2456,147719,LAGHOUAT,DZ,33.79972222222222,2.89,,distinct_years,80,0.0,29098
2459,256866,AKTIO,GR,38.925,20.765,,distinct_years,53,0.0,19236
2462,100964,GAFANHA DA NAZAR,PT,40.62,-8.716388888888888,,distinct_years,67,0.0,24260
2465,100109,BORDEAUX-MERIGNAC,FR,44.83055555555556,-0.6913888888888889,,distinct_years,80,0.0,29098
2473,257370,SVILENGRAD,BG,41.766666666666666,26.2,,distinct_years,60,0.0,21673
2508,100669,BRAGANCA,PT,41.80333333333333,-6.7427777777777775,,distinct_years,80,0.0,29098
2509,155167,KNIN,HR,44.04055555555556,16.206666666666667,,distinct_years,78,0.0,28033
2511,147755,OUJDA,MA,34.78,-1.93,,distinct_years,80,0.0,29098
2515,100818,BELGRADE (OBSERVATORY),RS,44.8,20.466666666666665,,distinct_years,80,0.0,29098
2523,147715,TEBESSA,DZ,35.419999999999995,8.119722222222222,,distinct_years,80,0.0,29098
2551,257174,LOVETCH,BG,43.15,24.7,,distinct_years,51,0.0,18202
2554,106209,AJACCIO,FR,41.918055555555554,8.792777777777777,,distinct_years,77,0.0,27729
2558,256719,IMSIK,TR,37.14,27.67,,distinct_years,63,0.0,22889
2559,100933,SARAJEVO,BA,43.867777777777775,18.422777777777775,,distinct_years,80,0.0,29098
2573,256054,EDIRNE,TR,41.67,26.57,,distinct_years,71,0.0,25811
2611,256271,BURSA,TR,40.18,29.07,,distinct_years,53,0.0,19236
2612,256257,CANAKKALE,TR,40.13,26.4,,distinct_years,63,0.0,22889
2615,100905,TURNU MAGURELE,RO,43.75,24.88305555555556,,distinct_years,80,0.0,29098
2616,147708,TIZI OUZOU,DZ,36.72,4.05,,distinct_years,80,0.0,29098
2628,100961,CAMPI,PT,40.68,-8.22,,distinct_years,80,0.0,29098
2629,256089,KUMKOY,TR,41.25,29.032777777777778,,distinct_years,53,0.0,19236
2633,256411,DIKILI,TR,39.06666666666667,26.88277777777778,,distinct_years,53,0.0,19236
2646,100957,EXTREMO,PT,41.96,-8.47,,distinct_years,66,0.0,23711
2649,257160,LOM,BG,43.81666666666667,23.25,,distinct_years,74,0.0,26907
2656,104116,TARBES - OSSUN,FR,43.18805555555555,0.0,,distinct_years,80,0.0,29098
2671,118442,NOUASSEUR,MA,33.36972222222222,-7.58,,distinct_years,75,0.0,26999
2676,118429,WHEELUS,LY,32.9,13.283055555555556,,distinct_years,80,0.0,29067
2681,108889,BUCURESTI-BANEASA,RO,44.516666666666666,26.08305555555556,,distinct_years,65,0.0,23619
2697,147745,MISURATA,LY,32.40972222222222,15.05,,distinct_years,80,0.0,29098
2711,147741,ZUARA,LY,32.88,12.08,,distinct_years,80,0.0,29098
2712,147721,EL-GOLEA,DZ,30.566666666666663,2.8666666666666667,,distinct_years,80,0.0,29098
